wavelength (nm), polarisability (a_0^3)
606.2 , -443.3
617.7 , -490.0
727.35 , -1876.0
761.5 , -5270.0
787.6 , 5382.0
1350.9 , 475.5
614.7 , -477.0
626.2 , -529.0
627.3 , -534.0
740.07 , -2493.0
775.84 , -20030.0
775.77 , -19917.0
789.98 , 53.0
792.0 , -6973.0
1414.8 , 455.0
