n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
23,2,2.5,8.135383429996141e-31,5.150950275131553e-07,0.0
24,2,2.5,-7.560634606684657e-31,5.144693116872368e-07,0.0
25,2,2.5,7.051075279981386e-31,5.139262722511016e-07,0.0
26,2,2.5,-6.596729025656298e-31,5.13451916139744e-07,0.0
27,2,2.5,6.189512260552549e-31,5.130350982871677e-07,0.0
28,2,2.5,-5.822810752659179e-31,5.126668515994408e-07,0.0
29,2,2.5,5.491164230709166e-31,5.123398942893529e-07,0.0
30,2,2.5,-5.190028335910631e-31,5.120482627667226e-07,0.0
31,2,2.5,4.915592749204068e-31,5.117870347326208e-07,0.0
32,2,2.5,-4.664640678100433e-31,5.11552117961822e-07,0.0
33,2,2.5,4.434439182013049e-31,5.113400875191871e-07,0.0
34,2,2.5,-4.2226527556299135e-31,5.111480590999907e-07,0.0
35,2,2.5,4.027274640809597e-31,5.109735896006519e-07,0.0
36,2,2.5,-3.8465717871409266e-31,5.108145984193757e-07,0.0
37,2,2.5,3.6790404149601907e-31,5.106693046836656e-07,0.0
38,2,2.5,-3.523369885183993e-31,5.105361768199147e-07,0.0
39,2,2.5,3.3784131302743264e-31,5.104138917642259e-07,0.0
40,2,2.5,-3.243162304941331e-31,5.103013017615552e-07,0.0
41,2,2.5,3.116728618721696e-31,5.101974071798182e-07,0.0
