n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
6,0,0.5,3.79130055e-29,-8.523473060245015e-07,32712453.79057455
7,0,0.5,3.87882899e-29,1.4698919190787481e-06,0.0
8,0,0.5,8.75883950e-30,7.946067275671101e-07,0.0
9,0,0.5,4.61622616e-30,6.588328829600901e-07,0.0
10,0,0.5,3.05150534e-30,6.035760011057948e-07,0.0
11,0,0.5,1.6124180845441367e-30,5.747316868614913e-07,0.0
12,0,0.5,-1.2569158788473398e-30,5.57522473800412e-07,0.0
13,0,0.5,1.0196722088746246e-30,5.463441426759048e-07,0.0
14,0,0.5,-8.509611789259371e-31,5.386381744405253e-07,0.0
15,0,0.5,7.2539237225423e-31,5.330855055350045e-07,0.0
16,0,0.5,-6.286680674383656e-31,5.289444729767841e-07,0.0
17,0,0.5,5.52133586610558e-31,5.257698869902455e-07,0.0
18,0,0.5,-4.902505592622976e-31,5.232804563861985e-07,0.0
19,0,0.5,4.393149042209382e-31,5.212909309660901e-07,0.0
20,0,0.5,-3.967587445792718e-31,5.196750604972489e-07,0.0
21,0,0.5,3.6074802097545076e-31,5.183442875549686e-07,0.0
22,0,0.5,-3.2993941787443525e-31,5.172349447832382e-07,0.0
23,0,0.5,3.033276424884943e-31,5.163002729494844e-07,0.0
24,0,0.5,-2.801462091917615e-31,5.155052843290038e-07,0.0
25,0,0.5,2.5980110053766374e-31,5.148233648581324e-07,0.0
26,0,0.5,-2.418252841997412e-31,5.142339714885026e-07,0.0
27,0,0.5,2.258468340799724e-31,5.137210379804208e-07,0.0
28,0,0.5,-2.11566145905947e-31,5.132718498984837e-07,0.0
29,0,0.5,1.9873936634436863e-31,5.128762369834852e-07,0.0
30,0,0.5,-1.8716615106909205e-31,5.125259843124205e-07,0.0
31,0,0.5,1.7668049197841784e-31,5.122143968924668e-07,0.0
32,0,0.5,-1.671437553003535e-31,5.119359735478201e-07,0.0
33,0,0.5,1.5843933537822102e-31,5.116861597740097e-07,0.0
34,0,0.5,-1.5046850489819359e-31,5.114611583990684e-07,0.0
35,0,0.5,1.4314716178985081e-31,5.11257783073463e-07,0.0
36,0,0.5,-1.364032557827429e-31,5.110733438463325e-07,0.0
37,0,0.5,1.301747352594119e-31,5.109055570290228e-07,0.0
38,0,0.5,-1.2440789642136039e-31,5.107524736195376e-07,0.0
39,0,0.5,1.1905604614344858e-31,5.10612422038905e-07,0.0
40,0,0.5,-1.1407841154313849e-31,5.104839619956435e-07,0.0
41,0,0.5,1.0943924501316171e-31,5.103658470706798e-07,0.0
5,2,1.5,1.89804831e-29,3.6140882770632107e-06,0.0
6,2,1.5,1.25897077e-29,9.211060263121615e-07,0.0
7,2,1.5,5.85121653e-30,6.985422404302134e-07,0.0
8,2,1.5,3.63902503e-30,6.219318414131887e-07,0.0
9,2,1.5,1.8575137105992902e-30,5.849194221209353e-07,0.0
10,2,1.5,-1.4154517934978635e-30,5.638256954711396e-07,0.0
11,2,1.5,1.1301615575927544e-30,5.505386214082132e-07,0.0
12,2,1.5,-9.321595580205946e-31,5.415801894390989e-07,0.0
13,2,1.5,7.874762328478285e-31,5.352332459133127e-07,0.0
14,2,1.5,-6.776174125350753e-31,5.305626142216219e-07,0.0
15,2,1.5,5.916845646173184e-31,5.27020599597033e-07,0.0
16,2,1.5,-5.228535992020351e-31,5.242678772718533e-07,0.0
17,2,1.5,4.666418341760125e-31,5.220845441880036e-07,0.0
18,2,1.5,-4.19988069726034e-31,5.203227344459487e-07,0.0
19,2,1.5,3.8073366618265483e-31,5.188799053912984e-07,0.0
20,2,1.5,-3.473148267360683e-31,5.176830557327267e-07,0.0
21,2,1.5,3.185723352928389e-31,5.166790276059723e-07,0.0
22,2,1.5,-2.936296688665474e-31,5.158283433397656e-07,0.0
23,2,1.5,2.7181249513929086e-31,5.151011729210039e-07,0.0
24,2,1.5,-2.5259407616523967e-31,5.14474627531682e-07,0.0
25,2,1.5,2.3555737123331376e-31,5.139309018165513e-07,0.0
26,2,1.5,-2.20368185181356e-31,5.134559729799378e-07,0.0
27,2,1.5,2.0675579160274573e-31,5.13038673349282e-07,0.0
28,2,1.5,-1.9449871880184606e-31,5.126700184291013e-07,0.0
29,2,1.5,1.8341416761221737e-31,5.123427128865449e-07,0.0
30,2,1.5,-1.7335002669949522e-31,5.120507824786402e-07,0.0
31,2,1.5,1.6417877378887614e-31,5.117892964493243e-07,0.0
32,2,1.5,-1.5579276498476146e-31,5.115541558006336e-07,0.0
33,2,1.5,1.4810055879533009e-31,5.113419301296945e-07,0.0
34,2,1.5,-1.410240202666314e-31,5.111497306844082e-07,0.0
35,2,1.5,1.3449601969103713e-31,5.109751107184391e-07,0.0
36,2,1.5,-1.2845858886318398e-31,5.108159866267842e-07,0.0
37,2,1.5,1.2286143276895767e-31,5.106705750458564e-07,0.0
38,2,1.5,-1.176607196847644e-31,5.105373423238958e-07,0.0
39,2,1.5,1.1281809107791685e-31,5.104149636539915e-07,0.0
40,2,1.5,-1.082998464440585e-31,5.103022898117564e-07,0.0
41,2,1.5,1.0407626818542675e-31,5.101983199205331e-07,0.0
5,2,2.5,5.74929985e-29,3.4909678491474327e-06,0.0
6,2,2.5,3.68698583e-29,9.17483481553543e-07,22619467.10584651
7,2,2.5,1.73258358e-29,6.975220004942703e-07,0.0
8,2,2.5,1.08511290e-29,6.214819253696376e-07,0.0
9,2,2.5,5.5322213347382044e-30,5.846761519692994e-07,0.0
10,2,2.5,-4.221346319433091e-30,5.636777368854263e-07,0.0
11,2,2.5,3.373506053601662e-30,5.504413495494423e-07,0.0
12,2,2.5,-2.7841974683894082e-30,5.415125816025e-07,0.0
13,2,2.5,2.3531197932789436e-30,5.351842410946454e-07,0.0
14,2,2.5,-2.0255389537446208e-30,5.30525904679499e-07,0.0
15,2,2.5,1.769143825254527e-30,5.269923597134296e-07,0.0
16,2,2.5,-1.5636752593240533e-30,5.242456707887157e-07,0.0
17,2,2.5,1.395810731393571e-30,5.220667567606782e-07,0.0
18,2,2.5,-1.2564443224754e-30,5.203082604387826e-07,0.0
19,2,2.5,1.1391502095854625e-30,5.188679661255724e-07,0.0
20,2,2.5,-1.039270455331646e-30,5.176730895014374e-07,0.0
21,2,2.5,9.533504280870637e-31,5.166706207018711e-07,0.0
22,2,2.5,-8.78776810406843e-31,5.158211854530641e-07,0.0
