n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
5,0,0.5,3.570680906736364e-29,-7.802414991382089e-07,37829350.89526212
6,0,0.5,3.62523631e-29,1.3668737530803474e-06,0.0
7,0,0.5,8.09338352e-30,7.410211449029038e-07,0.0
8,0,0.5,4.24453002e-30,6.161150892287305e-07,0.0
9,0,0.5,2.79371609e-30,5.655278021847401e-07,0.0
10,0,0.5,2.04432873e-30,5.392051740516497e-07,0.0
11,0,0.5,-1.1409676841664977e-30,5.235415585457952e-07,0.0
12,0,0.5,9.245561086085498e-31,5.133892290711486e-07,0.0
13,0,0.5,-7.708695160352824e-31,5.064032788008363e-07,0.0
14,0,0.5,6.566132872003996e-31,5.013772104946675e-07,0.0
15,0,0.5,-5.686882266393038e-31,4.976338826057603e-07,0.0
16,0,0.5,4.9917463420176115e-31,4.947674953688522e-07,0.0
17,0,0.5,-4.430097721706252e-31,4.925220199390285e-07,0.0
18,0,0.5,3.968108082451932e-31,4.907290644664975e-07,0.0
19,0,0.5,-3.5823452942442763e-31,4.892740038949662e-07,0.0
20,0,0.5,3.256086037169114e-31,4.880765215630698e-07,0.0
21,0,0.5,-2.9770901420753546e-31,4.870789311289473e-07,0.0
22,0,0.5,2.7362032715409654e-31,4.862389037793464e-07,0.0
23,0,0.5,-2.526449773049499e-31,4.855247927346928e-07,0.0
24,0,0.5,2.34242651668303e-31,4.849125433538005e-07,0.0
25,0,0.5,-2.1798875479819995e-31,4.843836010213184e-07,0.0
26,0,0.5,2.035453135578568e-31,4.839234638880858e-07,0.0
27,0,0.5,-1.9064019309090032e-31,4.835206623461494e-07,0.0
28,0,0.5,1.7905198829791776e-31,4.831660269294761e-07,0.0
29,0,0.5,-1.6859886741869408e-31,4.828521548996255e-07,0.0
30,0,0.5,1.5913021632340575e-31,4.825730160711999e-07,0.0
31,0,0.5,-1.5052029936584447e-31,4.823236577549979e-07,0.0
32,0,0.5,1.426633933754344e-31,4.820999812728614e-07,0.0
33,0,0.5,-1.354700119884567e-31,4.818985708350438e-07,0.0
34,0,0.5,1.2886394693143442e-31,4.817165611913943e-07,0.0
35,0,0.5,-1.2277992821238114e-31,4.815515343158861e-07,0.0
36,0,0.5,1.17161758005535e-31,4.81401438056718e-07,0.0
37,0,0.5,-1.1196081066197492e-31,4.812645215651575e-07,0.0
38,0,0.5,1.0713481810181226e-31,4.811392836563566e-07,0.0
39,0,0.5,-1.0264687958617606e-31,4.810244312210439e-07,0.0
40,0,0.5,9.846464924279182e-32,4.809188455103367e-07,0.0
41,0,0.5,-9.455966539526576e-32,4.808215546333232e-07,0.0
4,2,1.5,2.17801943e-29,1.5292616165789043e-06,0.0
5,2,1.5,3.98674077e-30,7.761570558439003e-07,0.0
6,2,1.5,3.03352005e-30,6.300966381249389e-07,0.0
7,2,1.5,2.21818659e-30,5.726206859374108e-07,0.0
8,2,1.5,1.69661299e-30,5.433499453610506e-07,0.0
9,2,1.5,1.34889725e-30,5.261742903926485e-07,0.0
10,2,1.5,7.680782607506518e-31,5.151716601829061e-07,0.0
11,2,1.5,-6.455734073511769e-31,5.076685435396029e-07,0.0
12,2,1.5,5.527864344680771e-31,5.023089396485142e-07,0.0
13,2,1.5,-4.804739451974196e-31,4.983404485920385e-07,0.0
14,2,1.5,4.227916737986227e-31,4.95316370776405e-07,0.0
15,2,1.5,-3.758838027080506e-31,4.929570678248702e-07,0.0
16,2,1.5,3.3711371992937653e-31,4.910798360021967e-07,0.0
17,2,1.5,-3.0462305338050025e-31,4.895610153772979e-07,0.0
18,2,1.5,2.7706761313757506e-31,4.88314387031182e-07,0.0
19,2,1.5,-2.534531685926987e-31,4.872782940593608e-07,0.0
20,2,1.5,2.3302989774099018e-31,4.8640766777656e-07,0.0
21,2,1.5,-2.1522256666399903e-31,4.856689281728724e-07,0.0
22,2,1.5,1.9958316068441336e-31,4.850366294126556e-07,0.0
23,2,1.5,-1.8575801922793424e-31,4.844911980364135e-07,0.0
24,2,1.5,1.7346457415552266e-31,4.840173742174743e-07,0.0
25,2,1.5,-1.6247458801795122e-31,4.836031163893618e-07,0.0
26,2,1.5,1.5260187987347412e-31,4.832388179077081e-07,0.0
27,2,1.5,-1.436932051800855e-31,4.829167379360835e-07,0.0
28,2,1.5,1.3562138856249202e-31,4.826305819967801e-07,0.0
29,2,1.5,-1.2828009000526525e-31,4.823751887565527e-07,0.0
30,2,1.5,1.2157977126932831e-31,4.821462933210296e-07,0.0
31,2,1.5,-1.1544455528829736e-31,4.819403463667038e-07,0.0
32,2,1.5,1.098097577181798e-31,4.81754374525969e-07,0.0
33,2,1.5,-1.046199295812113e-31,4.81585871596451e-07,0.0
34,2,1.5,9.982729264401945e-32,4.814327130247094e-07,0.0
35,2,1.5,-9.539047910622214e-32,4.812930881354601e-07,0.0
36,2,1.5,9.127350927853849e-32,4.811654460141161e-07,0.0
37,2,1.5,-8.744495672700119e-32,4.810484519834818e-07,0.0
38,2,1.5,8.387726234557744e-32,4.809409523663581e-07,0.0
39,2,1.5,-8.054616740098653e-32,4.808419457771465e-07,0.0
40,2,1.5,7.743024238414972e-32,4.807505595942183e-07,0.0
41,2,1.5,-7.451049344753749e-32,4.806660305704228e-07,0.0
4,2,2.5,6.53405829e-29,1.5293659328360846e-06,0.0
5,2,2.5,1.18882811e-29,7.759786315587998e-07,0.0
6,2,2.5,9.06458954e-30,6.300067973003572e-07,0.0
7,2,2.5,6.61858919e-30,5.725712881910185e-07,0.0
8,2,2.5,5.06585857e-30,5.433179181693359e-07,0.0
9,2,2.5,4.02870646e-30,5.261539748562077e-07,0.0
10,2,2.5,2.2935092265124378e-30,5.151579296726172e-07,0.0
11,2,2.5,-1.927934584766689e-30,5.076588137485584e-07,0.0
12,2,2.5,1.6509820649735045e-30,5.023017863558086e-07,0.0
13,2,2.5,-1.435106753473372e-30,4.983350320292572e-07,0.0
14,2,2.5,1.2628853859926805e-30,4.953121687281036e-07,0.0
15,2,2.5,-1.1228190050089446e-30,4.929537412455127e-07,0.0
16,2,2.5,1.0070426068170623e-30,4.910771567699469e-07,0.0
17,2,2.5,-9.10011546990015e-31,4.895588253161264e-07,0.0
18,2,2.5,8.277146322548908e-31,4.883125736060888e-07,0.0
19,2,2.5,-7.57184575422296e-31,4.872767754037828e-07,0.0
20,2,2.5,6.96183270729714e-31,4.864063831630648e-07,0.0
21,2,2.5,-6.429935641039932e-31,4.856678317737426e-07,0.0
22,2,2.5,5.962779565362049e-31,4.850356861114779e-07,0.0
23,2,2.5,-5.5498055660391365e-31,4.844903805537042e-07,0.0
24,2,2.5,5.182576734581569e-31,4.840166610988211e-07,0.0
25,2,2.5,-4.854277987781567e-31,4.836024905721137e-07,0.0
26,2,2.5,4.559349761336302e-31,4.832382656833701e-07,0.0
27,2,2.5,-4.293215806236333e-31,4.829162481881778e-07,0.0
28,2,2.5,4.052078213874795e-31,4.826301456335678e-07,0.0
29,2,2.5,-3.8327611817206564e-31,4.823747982836353e-07,0.0
30,2,2.5,3.6325906006477395e-31,4.821459425157189e-07,0.0
31,2,2.5,-3.4493002955339333e-31,4.819400300273549e-07,0.0
32,2,2.5,3.2809583266468767e-31,4.817540882771675e-07,0.0
33,2,2.5,-3.1259085494530727e-31,4.815856117362608e-07,0.0
34,2,2.5,2.9827238971414293e-31,4.814324764039038e-07,0.0
35,2,2.5,-2.8501687486382805e-31,4.812928720613036e-07,0.0
36,2,2.5,2.7271684011834505e-31,4.811652481731474e-07,0.0
37,2,2.5,-2.612784140563628e-31,4.810482703791273e-07,0.0
38,2,2.5,2.5061927570767284e-31,4.809407852682044e-07,0.0
39,2,2.5,-2.4066696150150752e-31,4.808417916794457e-07,0.0
40,2,2.5,2.313574582261084e-31,4.807504171817529e-07,0.0
41,2,2.5,-2.226340275816656e-31,4.806658986902754e-07,0.0
