Wavelength (nm), Polarisability (a_0^3)
1554.0,424.0
1550.0,424.7
1540.0,426.6
1340.0,479.5
1332.0,482.5
1313.0,489.9
1240.0,524.6
1152.0,585.7
1090.0,650.8
1064.0,686.9
1060.0,693.1
1053.0,704.4
1047.0,714.5
1030.0,746.0
985.0,855.8
980.0,871.2
946.0,1001.6
930.0,1084.4
799.3,13483.0
700.0,-1192.7
600.0,-421.8
500.0,-196.8
400.0,-109.7
300.0,-43.7
