Wavelength (nm), Polarisability (a_0^3)
3611.8,422
1910,498
932.4,3197
921.01,4088
887.95,-5600
793.07,-2074
698.524,-697
687.3,-635
657.05,-500
621.924,-388
615.5,-371
602.6,-339
