# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz), Electric Quadrupole Constant (Hz)
34,2,1.5,1.6956700353301635e-32,1.3118201991949124e-08,0.0000000000000000e+00,0,0
35,2,1.5,3.3913400706603271e-32,8.8080141725175890e-09,0.0000000000000000e+00,0,0
36,2,1.5,3.3913400706603271e-32,5.9087731862992643e-09,0.0000000000000000e+00,0,0
37,2,1.5,3.3913400706603271e-32,3.9626030290161332e-09,0.0000000000000000e+00,0,0
38,2,1.5,2.5435050529952448e-32,2.6573272667721059e-09,0.0000000000000000e+00,0,0
39,2,1.5,1.6956700353301635e-32,1.7818699998288869e-09,0.0000000000000000e+00,0,0
40,2,1.5,1.6956700353301635e-32,1.1946849389363495e-09,0.0000000000000000e+00,0,0
41,2,1.5,8.4783501766508177e-33,8.0118962622652396e-10,0.0000000000000000e+00,0,0
42,2,1.5,8.4783501766508177e-33,5.3786136035984549e-10,0.0000000000000000e+00,0,0
5,2,2.5,8.1307378194081332e-29,3.4909740864993551e-06,7.2998220871264103e+05,0,0
6,2,2.5,5.2141853586402531e-29,9.1748337978857524e-07,1.6537526406459944e+07,0,0
7,2,2.5,2.4502432010520863e-29,6.9752226142297327e-07,8.3106770068011982e+06,0,0
8,2,2.5,1.5345813819737977e-29,6.2148202332173436e-07,4.6087841980925528e+06,0,0
9,2,2.5,9.9111913565048053e-30,5.8467633487454003e-07,2.3088589965597554e+06,0,0
10,2,2.5,7.7068203105755914e-30,5.6367784007670537e-07,1.5579367348075863e+06,0,0
11,2,2.5,6.2315873798383500e-30,5.5044134386951468e-07,1.0938467356319132e+06,0,0
12,2,2.5,5.3413606112900148e-30,5.4151262888677456e-07,8.4405406701955583e+05,0,0
13,2,2.5,5.4431008134098242e-30,5.3518435763159507e-07,9.0797681353259226e+05,0,0
14,2,2.5,5.9263667734789210e-30,5.3052593157700952e-07,1.1049673307507683e+06,0,0
15,2,2.5,6.2824574808982554e-30,5.2699255886506892e-07,1.2668870687198085e+06,0,0
16,2,2.5,6.4944162353145264e-30,5.2424584613803807e-07,1.3752051230888579e+06,0,0
17,2,2.5,6.7657234409673515e-30,5.2206698850356294e-07,1.5112698602005739e+06,0,0
18,2,2.5,6.3163708816048585e-30,5.2030841801786420e-07,1.3305920514606137e+06,0,0
19,2,2.5,7.6559502095156881e-30,5.1886812032759253e-07,1.9711490845087052e+06,0,0
20,2,2.5,7.1218141483866859e-30,5.1767310082563687e-07,1.7175394132411422e+06,0,0
21,2,2.5,1.2191867554023872e-29,5.1667063641938979e-07,5.0628069496156918e+06,0,0
22,2,2.5,1.1021855229646061e-30,5.1582126999323250e-07,4.1581859035569338e+04,0,0
23,2,2.5,1.2344477857203589e-29,5.1509512004034231e-07,0.0000000000000000e+00,0,0
24,2,2.5,1.0920115027526251e-29,5.1446945337620582e-07,0.0000000000000000e+00,0,0
25,2,2.5,1.2632741763209717e-30,5.1392637696294182e-07,0.0000000000000000e+00,0,0
26,2,2.5,8.4613934762975155e-30,2.3377737007004434e-07,0.0000000000000000e+00,0,0
27,2,2.5,6.0450636759520320e-30,1.7325614656499763e-07,0.0000000000000000e+00,0,0
28,2,2.5,3.9169977816126773e-30,1.2434145656069044e-07,0.0000000000000000e+00,0,0
29,2,2.5,2.3739380494622289e-30,8.7161244554492299e-08,0.0000000000000000e+00,0,0
30,2,2.5,1.3395793279108291e-30,6.0099480265704609e-08,0.0000000000000000e+00,0,0
31,2,2.5,6.8674636430871620e-31,4.0986648640192103e-08,0.0000000000000000e+00,0,0
32,2,2.5,2.9674225618277861e-31,2.7755504756197172e-08,0.0000000000000000e+00,0,0
33,2,2.5,6.7826801413206541e-32,1.8712214542126429e-08,0.0000000000000000e+00,0,0
34,2,2.5,4.2391750883254083e-32,1.2580281221870886e-08,0.0000000000000000e+00,0,0
35,2,2.5,8.4783501766508166e-32,8.4433809124321016e-09,0.0000000000000000e+00,0,0
36,2,2.5,9.3261851943158972e-32,5.6615790339816411e-09,0.0000000000000000e+00,0,0
37,2,2.5,8.4783501766508166e-32,3.7947385108115654e-09,0.0000000000000000e+00,0,0
38,2,2.5,6.7826801413206541e-32,2.5430502227827704e-09,0.0000000000000000e+00,0,0
39,2,2.5,5.0870101059904895e-32,1.7039549692821306e-09,0.0000000000000000e+00,0,0
40,2,2.5,4.2391750883254083e-32,1.1415956874505947e-09,0.0000000000000000e+00,0,0
41,2,2.5,2.5435050529952448e-32,7.6506840340030099e-10,0.0000000000000000e+00,0,0
42,2,2.5,1.6956700353301635e-32,5.1327409735182241e-10,0.0000000000000000e+00,0,0
