# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
3,0,0.5,2.9939523922500674e-29,-5.891595782954084e-07,61773882.30344944,0
4,0,0.5,2.1475660997456515e-29,1.1406969372792366e-06,0.0,0
5,0,0.5,-4.5584240570302295e-30,6.162444512310679e-07,0.0,0
6,0,0.5,2.3522375971643194e-30,5.154839673320071e-07,0.0,0
7,0,0.5,-1.5363214479104903e-30,4.753155331983614e-07,0.0,0
8,0,0.5,1.1186260559848953e-30,4.54646372298516e-07,0.0,0
9,0,0.5,-8.672565569848738e-31,4.4244943446919527e-07,0.0,0
10,0,0.5,7.00570040929448e-31,4.3459619556639246e-07,0.0,0
11,0,0.5,-5.826396842644122e-31,4.292214232115085e-07,0.0,0
12,0,0.5,4.9523906806693225e-31,4.2537194070759036e-07,0.0,0
13,0,0.5,-4.281587686268027e-31,4.225158796722928e-07,0.0,0
14,0,0.5,3.752465656069171e-31,4.203361001002297e-07,0.0,0
15,0,0.5,-3.325808895065158e-31,4.1863339147052347e-07,0.0,0
16,0,0.5,2.9754808684212772e-31,4.1727724202403005e-07,0.0,0
17,0,0.5,-2.6834187455767534e-31,4.161791202952376e-07,0.0,0
18,0,0.5,2.4367579119969325e-31,4.152771863705809e-07,0.0,0
19,0,0.5,-2.2261002432503146e-31,4.1452714939216845e-07,0.0,0
20,0,0.5,2.0444291135803966e-31,4.138965926277921e-07,0.0,0
21,0,0.5,-1.886406342829616e-31,4.133613362238545e-07,0.0,0
22,0,0.5,1.747903233495611e-31,4.129030401368559e-07,0.0,0
23,0,0.5,-1.6256797592432168e-31,4.1250758528255167e-07,0.0,0
24,0,0.5,1.5171601781910353e-31,4.1216395632106446e-07,0.0,0
25,0,0.5,-1.4202729737906216e-31,4.1186345559468417e-07,0.0,0
26,0,0.5,1.3333346606110126e-31,4.1159914038089257e-07,0.0,0
27,0,0.5,-1.2549640934128802e-31,4.113654136524071e-07,0.0,0
28,0,0.5,1.1840183657018071e-31,4.111577222025914e-07,0.0,0
29,0,0.5,-1.119544233801242e-31,4.109723310565958e-07,0.0,0
30,0,0.5,1.060740870012838e-31,4.108061528711792e-07,0.0,0
31,0,0.5,-1.006930991063365e-31,4.106566174985535e-07,0.0,0
32,0,0.5,9.575382563055321e-32,4.1052157124504354e-07,0.0,0
33,0,0.5,-9.12069409517691e-32,4.103991983322644e-07,0.0,0
34,0,0.5,8.701000496624345e-32,4.102879591326339e-07,0.0,0
35,0,0.5,-8.312632024236612e-32,4.1018654120139965e-07,0.0,0
36,0,0.5,7.952400737096169e-32,4.1009382015911427e-07,0.0,0
37,0,0.5,-7.617525173333048e-32,4.1000882822094054e-07,0.0,0
38,0,0.5,7.305568589469211e-32,4.0993072870919105e-07,0.0,0
39,0,0.5,-7.01438802004062e-32,4.0985879528225215e-07,0.0,0
40,0,0.5,6.742092018216144e-32,4.0979239490728464e-07,0.0,0
41,0,0.5,-6.487005414979731e-32,4.0973097382424764e-07,0.0,0
