# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
36,2,1.5,-7.249380618880443e-32,4.5701842826409123e-07,0.0,0.0
37,2,1.5,6.956792782604948e-32,4.569219746403454e-07,0.0,0.0
38,2,1.5,-6.683351586939872e-32,4.568331248326666e-07,0.0,0.0
39,2,1.5,6.427350516309781e-32,4.567510992933568e-07,0.0,0.0
40,2,1.5,-6.187273414467376e-32,4.5667521596715804e-07,0.0,0.0
41,2,1.5,5.961769204925459e-32,4.566048760047955e-07,0.0,0.0
4,2,2.5,1.353379538537149e-30,6.96659021441218e-07,0.0,0.0
5,2,2.5,2.442199845723809e-30,5.833501373426526e-07,0.0,0.0
6,2,2.5,-2.5842426908240664e-30,5.361061591572509e-07,0.0,0.0
7,2,2.5,2.278411767556648e-30,5.1136724670714e-07,0.0,0.0
8,2,2.5,-1.9537708814263114e-30,4.966410588575073e-07,0.0,0.0
9,2,2.5,1.67743735186191e-30,4.871112120871905e-07,0.0,0.0
10,2,2.5,-1.4521794728711382e-30,4.805675424470562e-07,0.0,0.0
11,2,2.5,1.269415549686089e-30,4.7587007571835016e-07,0.0,0.0
12,2,2.5,-1.1201358712928393e-30,4.723788763172686e-07,0.0,0.0
13,2,2.5,9.969676276873945e-31,4.6971077739239945e-07,0.0,0.0
14,2,2.5,-8.942419580059644e-31,4.676243640632321e-07,0.0,0.0
15,2,2.5,8.076664834387473e-31,4.659611101003187e-07,0.0,0.0
16,2,2.5,-7.339875653267988e-31,4.6461328556011883e-07,0.0,0.0
17,2,2.5,6.70720347144807e-31,4.6350552957006914e-07,0.0,0.0
18,2,2.5,-6.15948041237617e-31,4.625838014021659e-07,0.0,0.0
19,2,2.5,5.6817606553102635e-31,4.618085074170756e-07,0.0,0.0
20,2,2.5,-5.262264667846297e-31,4.611500881364938e-07,0.0,0.0
21,2,2.5,4.891611862167387e-31,4.6058610569688506e-07,0.0,0.0
22,2,2.5,-4.562258462298399e-31,4.6009927441574385e-07,0.0,0.0
23,2,2.5,4.2680817666633135e-31,4.596761001662543e-07,0.0,0.0
24,2,2.5,-4.004069546886973e-31,4.5930592215391195e-07,0.0,0.0
25,2,2.5,3.766085621536883e-31,4.589802263489804e-07,0.0,0.0
26,2,2.5,-3.550691147382865e-31,4.58692145832529e-07,0.0,0.0
27,2,2.5,3.3550070786635853e-31,4.5843609198301453e-07,0.0,0.0
28,2,2.5,-3.176607330611767e-31,4.5820747869835414e-07,0.0,0.0
29,2,2.5,3.013435077541421e-31,4.5800251372592996e-07,0.0,0.0
30,2,2.5,-2.863736626052145e-31,4.578180390388645e-07,0.0,0.0
31,2,2.5,2.7260087724378785e-31,4.5765140749457687e-07,0.0,0.0
32,2,2.5,-2.5989565837209773e-31,4.5750038663531943e-07,0.0,0.0
33,2,2.5,2.4814593045998576e-31,4.5736308300471906e-07,0.0,0.0
34,2,2.5,-2.372542642560533e-31,4.572378821221736e-07,0.0,0.0
35,2,2.5,2.2713561025301885e-31,4.57123400515279e-07,0.0,0.0
36,2,2.5,-2.1771543402213465e-31,4.570184471164414e-07,0.0,0.0
37,2,2.5,2.0892817359025507e-31,4.569219919891189e-07,0.0,0.0
38,2,2.5,-2.0071595678918916e-31,4.5683314083374216e-07,0.0,0.0
39,2,2.5,1.930275290929838e-31,4.567511140829058e-07,0.0,0.0
40,2,2.5,-1.858173535735947e-31,4.566752296645634e-07,0.0,0.0
41,2,2.5,1.7904485156780137e-31,4.566048887150783e-07,0.0,0.0
