# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
4,0,0.5,4.9123560923514835e-29,-7.667017797571291e-07,37729775.038743556,3363000.0
5,0,0.5,3.303299495654359e-29,1.252552879405378e-06,0.0,0.0
6,0,0.5,-7.743433177929046e-30,6.940674184181625e-07,0.0,0.0
7,0,0.5,4.0742152032807915e-30,5.803358260576976e-07,0.0,0.0
8,0,0.5,-2.685315119503067e-30,5.341167066407819e-07,0.0,0.0
9,0,0.5,1.9661234478379354e-30,5.100614630411927e-07,0.0,0.0
10,0,0.5,-1.5302171141654718e-30,4.957524217039257e-07,0.0,0.0
11,0,0.5,1.2397028678360247e-30,4.864832310635469e-07,0.0,0.0
12,0,0.5,-1.0333766540359829e-30,4.801087905097732e-07,0.0,0.0
13,0,0.5,8.799970171301581e-31,4.7552534293345986e-07,0.0,0.0
14,0,0.5,-7.61981641568148e-31,4.721135337650587e-07,0.0,0.0
15,0,0.5,6.6869520479096535e-31,4.6950231636547174e-07,0.0,0.0
16,0,0.5,-5.933371285340577e-31,4.6745767982308466e-07,0.0,0.0
17,0,0.5,5.313627743355294e-31,4.658257773161557e-07,0.0,0.0
18,0,0.5,-4.7962403793805946e-31,4.6450192831014436e-07,0.0,0.0
19,0,0.5,4.358741865697182e-31,4.634128141445822e-07,0.0,0.0
20,0,0.5,-3.984688875174033e-31,4.625057954546237e-07,0.0,0.0
21,0,0.5,3.6617846591020066e-31,4.617422613245029e-07,0.0,0.0
22,0,0.5,-3.3806600460499144e-31,4.610933549613316e-07,0.0,0.0
23,0,0.5,3.1340588319200096e-31,4.605371498195446e-07,0.0,0.0
24,0,0.5,-2.9162795851207614e-31,4.600567382131081e-07,0.0,0.0
25,0,0.5,2.7227846290618153e-31,4.5963890948965325e-07,0.0,0.0
26,0,0.5,-2.549920728973142e-31,4.5927321823910134e-07,0.0,0.0
27,0,0.5,2.394716060561553e-31,4.5895131604789503e-07,0.0,0.0
28,0,0.5,-2.2547302976919788e-31,4.5866646474845044e-07,0.0,0.0
29,0,0.5,2.1279423419586763e-31,4.5841317682679936e-07,0.0,0.0
30,0,0.5,-2.0126651553740127e-31,4.581869463234541e-07,0.0,0.0
31,0,0.5,1.907480389860393e-31,4.5798404506135556e-07,0.0,0.0
32,0,0.5,-1.811187670202779e-31,4.5780136665569897e-07,0.0,0.0
33,0,0.5,1.7227648540745656e-31,4.576363058970538e-07,0.0,0.0
34,0,0.5,-1.6413366080274714e-31,4.5748666461533775e-07,0.0,0.0
35,0,0.5,1.566149348040132e-31,4.5735057757370286e-07,0.0,0.0
36,0,0.5,-1.496551098460349e-31,4.572264536592397e-07,0.0,0.0
37,0,0.5,1.4319751846480157e-31,4.571129288609976e-07,0.0,0.0
38,0,0.5,-1.371926939397305e-31,4.5700882840738915e-07,0.0,0.0
39,0,0.5,1.3159727966705109e-31,4.569131360769812e-07,0.0,0.0
40,0,0.5,-1.2637312900064076e-31,4.568249691688244e-07,0.0,0.0
41,0,0.5,1.214865581051225e-31,4.5674355796898567e-07,0.0,0.0
4,2,1.5,4.5759252512241e-31,6.966089130533545e-07,0.0,0.0
5,2,1.5,8.104614214195804e-31,5.833327134458683e-07,0.0,0.0
6,2,1.5,-8.593036156024797e-31,5.360986285262694e-07,0.0,0.0
7,2,1.5,7.580730552448234e-31,5.113633201794263e-07,0.0,0.0
8,2,1.5,-6.502404908546623e-31,4.966387252106149e-07,0.0,0.0
9,2,1.5,5.5835766953900346e-31,4.871096954853381e-07,0.0,0.0
10,2,1.5,-4.834215224212106e-31,4.805664929981921e-07,0.0,0.0
11,2,1.5,4.226054002448967e-31,4.7586931541205754e-07,0.0,0.0
12,2,1.5,-3.7292319387078885e-31,4.723783058944889e-07,0.0,0.0
13,2,1.5,3.3192672811210884e-31,4.6971033747520326e-07,0.0,0.0
14,2,1.5,-2.977319591431394e-31,4.6762401712749457e-07,0.0,0.0
15,2,1.5,2.689115933311184e-31,4.6596083137228477e-07,0.0,0.0
16,2,1.5,-2.4438338962379086e-31,4.646130580911373e-07,0.0,0.0
17,2,1.5,2.2332064300020477e-31,4.6350534141725445e-07,0.0,0.0
18,2,1.5,-2.050855446014105e-31,4.625836439374378e-07,0.0,0.0
19,2,1.5,1.891807169312745e-31,4.6180837427250766e-07,0.0,0.0
20,2,1.5,-1.7521411831765859e-31,4.61149974524316e-07,0.0,0.0
21,2,1.5,1.6287352649662934e-31,4.6058600795835806e-07,0.0,0.0
22,2,1.5,-1.5190784184139184e-31,4.6009918971435966e-07,0.0,0.0
23,2,1.5,1.4211325719852254e-31,4.5967602627450017e-07,0.0,0.0
24,2,1.5,-1.333229238676216e-31,4.5930585730218266e-07,0.0,0.0
25,2,1.5,1.2539915111575081e-31,4.5898016911666886e-07,0.0,0.0
26,2,1.5,-1.1822745930275224e-31,4.5869209506829745e-07,0.0,0.0
27,2,1.5,1.1171200240750315e-31,4.5843604674560866e-07,0.0,0.0
28,2,1.5,-1.0577201245447467e-31,4.5820743821210213e-07,0.0,0.0
29,2,1.5,1.0033901350864581e-31,4.580024773468953e-07,0.0,0.0
30,2,1.5,-9.535462072596302e-32,4.5781800622882365e-07,0.0,0.0
31,2,1.5,9.07687881021907e-32,4.576513778008159e-07,0.0,0.0
32,2,1.5,-8.653840308020439e-32,4.575003596748059e-07,0.0,0.0
33,2,1.5,8.262615169111791e-32,4.573630584515956e-07,0.0,0.0
34,2,1.5,-7.899959595020957e-32,4.5723785969779866e-07,0.0,0.0
35,2,1.5,7.563041937230077e-32,4.571233799802375e-07,0.0,0.0
